model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7345635202271115,0.5,0.7941176470588235,0.6136363636363636,0.8473843292257615
Random Forest,0.7721788502484032,0.5560253699788583,0.7032085561497327,0.6210153482880756,0.8405719600093001
